Country,Net energy imports(% of energy use) year 1990,Net energy imports(% of energy use) year 2015,GDP per unit of energy use(2017 PPP $ per kilogram of oil equivalent) year 1990,GDP per unit of energy use(2017 PPP $ per kilogram of oil equivalent) year 1990,Carbon dioxide emissions (1000 metric tons) year 2015,Carbon dioxide emissions (1000 metric tons) year 2020,Carbon intensity kilograms per kilograms of oil equivalent energy use year 1990,Carbon intensity kilograms per kilograms of oil equivalent energy use year 2014,Per capita metric tons year 2015,Per capita metric tons year 2020
Afghanistan,..,..,..,..,10057.59,8709.47,..,..,0.297971774718822,0.223478872007068
Albania,7.9650583526857,13.7979708979656,5.93546564654377,14.3321049557402,4797,4383.2,2.2635446960284,2.23486361552126,1.66521852478371,1.54455011524574
Algeria,-351.212563673921,-177.124357913786,10.1552772665222,8.67222788758614,156273,161563,3.06016158680895,2.68633780958248,3.95196093867474,3.7182233703076
American Samoa,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,465.328,448.884399,..,..,6.48576924149081,5.77714799227799
Angola,-387.018022299596,-540.997471229649,11.6475408091054,15.1297975593919,31648.9,19814.5,1.0759531108813,2.36015839981942,1.12518536428885,0.592742967779037
Antigua and Barbuda,..,..,10.9042916279781,..,490.2,474.6,2.12491436595105,..,5.45023960151655,5.12173012173012
Argentina,-5.10971172102555,13.0293607429001,10.0162614392265,11.6014750732522,185550,154535.9,2.16744742751409,2.07710390733366,4.30191380564475,3.4056175404138
Armenia,98.0705002296298,71.3413045219602,2.37775861426874,10.8472601120425,5343.4,6746.6,2.57522645127308,1.85214038818564,1.85625278998956,2.40468376195106
Aruba,..,..,..,..,..,..,..,..,..,..
Australia,-82.3704660974937,-190.190947582154,6.10450739861066,8.66970676165645,385782.4,378996.8,3.05180374336377,2.95348008555287,16.1984582210401,14.7761369066259
Austria,67.2964630226631,63.5448534935955,11.5719974578556,13.913077051603,63254.7,59142.4,2.34231585536395,1.92738553991358,7.3188595368183,6.63264573733546
Azerbaijan,8.32727246732362,-310.384694389236,2.41167549190618,9.89824900407286,31773.3,34305,2.53819448765229,2.2782440470663,3.29279481365619,3.39884957289227
"Bahamas, The",..,..,15.1678135328259,..,2207.4,2456,2.75833280990869,..,5.62112773970771,6.04225147673512
Bahrain,-173.388948257832,-61.5842547697783,3.6570091041783,4.5487525144054,30492.4,32470.2,2.05169899397977,2.13451453497037,22.3856249935763,21.9769078065259
Bangladesh,15.5291716459355,16.8417026426245,14.5554776837485,18.1370097940726,73156.9,85493.1,0.904393799438428,1.80107982357548,0.46351707533422,0.510647559277094
Barbados,..,..,11.3250264565873,..,1269.57,1096.07,3.0435886618496,..,4.56543549947318,3.90487115816925
Belarus,92.6587771260379,86.7796989270316,1.99210054175588,6.5107465520274,54871.3,54801.5,2.1946161417457,2.1433490746531,5.799689168547,5.84240729590088
Belgium,72.6647660276206,80.0917919669683,7.38210111342794,10.5500523086322,95096,85364.1,2.28005766161742,1.70839371577907,8.43483650630165,7.39813065774681
Belize,..,..,10.8162714259556,..,675.1,687.6,3.10681805343727,..,1.875949993192,1.74110771521393
Benin,-6.75705690973716,46.5907071276267,6.51848162766781,7.13992700436768,5505.6,7980.4,0.228734466371519,1.28514378449888,0.503586323811604,0.631204805964476
Bermuda,..,..,..,..,..,..,..,..,..,..
Bhutan,..,..,28.887714092583,..,1042.1,1035.2,2.32246754387338,..,1.40204016284708,1.34005431673023
Bolivia,-88.5859562068512,-177.985836124855,12.0631550387978,9.93439836336871,20002.9,18375.3,2.17575254032516,2.42093928843589,1.8036741828399,1.53946469560316
Bosnia and Herzegovina,34.3892409879395,22.7300892330376,..,5.37076777968686,19629,20946.8,3.41569962135181,2.49105062264763,5.56957873339682,6.31230587447531
Botswana,28.6955600992536,44.4999646607729,10.0914009993537,12.2023138921617,6949.712,5763.687,2.30650590621468,2.62467384838294,3.01483577574071,2.2634631138367
Brazil,25.7216149211208,11.870133377942,11.1807919668595,10.5309788777279,485344.1,414138.8,1.41405261466823,1.67120913497858,2.36536062099671,1.94252335631484
Brunei Darussalam,-805.789431624981,-357.394379176148,10.6717516622784,7.40131158860475,6397.7,9588,2.26997929222972,1.96119092967484,15.1806794372587,21.7058124398664
Bulgaria,65.9395937723744,36.5507777246819,3.8637500632598,7.75060367672352,44556.5,34138.1,2.60627626471717,2.35942495288274,6.2073775238782,4.92328037940501
Burkina Faso,..,..,..,..,3801.8,5456.7,..,..,0.203109100380761,0.253533188747507
Burundi,..,..,..,..,366.8,713.466,..,..,0.0341936179122354,0.0583840218352736
Cabo Verde,..,..,22.7932468383172,..,499.9,620.6,3.44280038485,..,0.905343682877975,1.06515172319099
Cambodia,..,33.1162975078679,..,8.07094419458805,8432.6,18652.8,..,1.04130706496217,0.546949078655501,1.13758365931038
Cameroon,-120.354256803558,-28.3198208915884,7.99354268671066,10.3543236322036,8500.2,9928.4,0.582229940672777,1.01933541172536,0.369370823329051,0.37478265803136
Canada,-30.8357552368878,-72.5281697658652,4.52980972708783,6.22723281741676,558747.2,516873.7,1.98366252853201,2.0073978558184,15.6499072848632,13.5993749178773
Cayman Islands,..,..,..,..,..,..,..,..,..,..
Central African Republic,..,..,..,..,184.4,236.6,..,..,0.0382625562500039,0.044282072685485
Chad,..,..,..,..,1478.55,1568.4,..,..,0.104563037463065,0.0942281870969025
Channel Islands,..,..,..,..,..,..,..,..,..,..
Chile,43.4116131684863,65.2364564463155,9.24026510852676,12.1311537528925,82260.4,84827.8,2.17069236949167,2.11590207464489,4.60323610513279,4.39515106359663
China,-1.1661638515884,15.0218007401139,1.85646025906872,5.3280185755324,9859281.2,10944686.2,2.49615935087306,3.24264414716579,7.14513153508327,7.75613790659769
"Hong Kong SAR, China",99.4964845009713,98.6803237347071,19.0633239219547,28.6011180235921,..,..,3.21289686005605,..,..,..
"Macao SAR, China",..,..,..,..,..,..,..,..,..,..
