Country,_mean
India,1.21910262628869
Indonesia,1.39372266663445
Malaysia,1.37234015862147
Chile,1.44563431253559
Bolivia,1.94819570729073
Peru,1.74266037344933
Argentina,1.38592863525182
United Kingdom,1.57777212423089
Cyprus,1.54249354387842
China,1.91657861662964
Israel,1.88492675138189
Israel,1.88588562481063
Lebanon,1.8223846384921
Ethiopia,1.70806200818701
South Sudan,1.42052478515185
Somalia,1.48110881829873
Kenya,1.55549255584149
Pakistan,1.77926375649192
Malawi,1.74043691158295
United Republic of Tanzania,1.58013194035261
Syria,2.07642876439624
Somaliland,1.74927629874303
France,1.80274983191154
Suriname,1.79730326788766
Guyana,1.78380722859327
South Korea,1.68990674885837
North Korea,1.94930322353656
Morocco,1.93733279488303
Western Sahara,2.08423201739788
Costa Rica,1.48660266399384
Nicaragua,1.6484043598175
Republic of the Congo,1.45880392289931
Democratic Republic of the Congo,1.46647398867072
Bhutan,1.47579101721446
Ukraine,2.25436231068202
Belarus,2.37885359237934
Namibia,2.05074728329976
South Africa,1.77404674312525
France,1.28705286979675
Netherlands,1.28705286979675
Oman,1.83508457740148
Uzbekistan,2.21456376075745
Kazakhstan,2.43709757004255
Tajikistan,2.23096151649952
Lithuania,2.36789263619317
Brazil,1.84169966050363
Uruguay,1.28513895062839
Mongolia,2.26700019315292
Russia,3.04093105335313
Czechia,2.0988920794593
Germany,1.95628436587074
Estonia,2.60958310535976
Latvia,2.44930211702983
Norway,3.16539417311203
Sweden,2.49657361324017
Finland,2.89255772158504
Vietnam,1.33997285750604
Cambodia,1.51332338154316
Luxembourg,1.90245179362764
United Arab Emirates,2.13825421333313
Belgium,1.79626174767812
Georgia,2.06480954753028
Macedonia,1.96454552809397
Albania,1.87452924251556
Azerbaijan,1.98014192581177
Kosovo,1.98666834831238
Turkey,2.04227985021396
Spain,1.85537075762655
Laos,1.39385252139148
Kyrgyzstan,2.19404657681783
Armenia,2.15387690541036
Denmark,1.89172379175822
Libya,2.16604800032289
Tunisia,1.94422253440408
Romania,2.11135464906693
Hungary,2.14914969964461
Slovakia,2.17636555433273
Poland,2.13271749310377
Ireland,1.31392557919025
United Kingdom,1.49789091312524
Greece,1.88345617597753
Zambia,1.81420089304447
Sierra Leone,1.71239497661591
Guinea,1.73607936359587
Liberia,1.55829741060734
Central African Republic,1.32014524469189
Sudan,1.98571793926068
